channel_1,channel_2,channel_3,channel_4,beta_power,focus_score,focused_classification
175.3933606344508,-37.06147358589806,-219.3493397886632,-341.0662537965691,0.0,0.0,0
-617.531813196023,-528.9251684708288,-355.9580679326318,-327.0355516253039,0.0,0.0,0
-76.96480365062598,-97.50152928230818,-87.21586942917202,-82.21749313839246,0.0,0.0,0
637.6463976202067,635.1920882742852,867.8115280807251,899.6212471538456,0.0,0.0,0
901.9297004014952,843.2104661721969,879.2574918951141,880.2990540327737,0.0,0.0,0
1132.4968701072503,1387.9100651686313,1382.02813751332,1382.2029778362485,39400.72239854907,1.0,1
1594.4829717336688,1619.6721329102293,1657.7293548593298,1596.5343068593647,35833.07848016984,1.0,1
1875.6575326648308,1891.93638219696,2112.219761999557,2147.2233556348365,33879.45721797363,1.0,1
3351.167741983081,3355.405983607867,3590.396519986214,3635.843784247758,31944.96968035801,1.0,1
3834.9892495007953,3871.9880797624355,3837.8942167913774,3849.370099805412,31855.359829281835,1.0,1
3852.5592994926265,3871.2270101214526,3901.676340585691,3825.2299805664225,35813.93403178846,1.0,1
3083.891584262252,3040.6522634370485,2920.300880400464,2936.653592956718,32521.94731106869,1.0,1
3406.825400611153,3445.164050031919,3277.4477690315107,3346.4498581889784,38857.899721023554,1.0,1
3392.718965465785,3390.4198619680246,3253.101487807464,3330.422049441375,43131.23667437657,1.0,1
3468.026525948546,3545.8931129759876,3754.488837929559,3846.3169389790855,41760.47867675753,1.0,1
3516.4058717753505,3567.46205099544,3737.3797306072665,3841.691617708886,40994.220316188104,1.0,1
77.55991523107514,180.3202113385778,140.96103671740275,-1.7801923789083958,87524.44833710193,1.0,1
-131.3976450432092,-234.71191383164842,-230.05760833679233,-385.50514753255993,80225.01771191988,1.0,1
-184.19241025520023,-63.52827808482107,-120.83710254332982,-224.77079226193018,79251.60744709102,1.0,1
-526.6330772854853,-437.66833713953383,-486.3099434507312,-690.6117957676761,77224.924637129,1.0,1
-1136.8038323937217,-1216.1243055289378,-1219.1938284175703,-1380.6897208166774,75987.12715801956,1.0,1
-1459.3889030717546,-1446.6825929722982,-1165.6080743649509,-1270.1191111392109,75545.77116654077,1.0,1
-1396.897044762154,-1274.8510195581475,-1356.3345573302358,-1457.2510827595834,76581.14617109881,1.0,1
-1493.8997648878722,-1379.3195149704115,-1427.0873871544609,-1418.270573008922,75535.4068188433,1.0,1
-1342.0397247246,-1449.0172255196376,-1469.6633432250237,-1610.835684289923,76902.66731555905,1.0,1
-1703.4846933797235,-1676.29375075188,-1867.7658762708306,-1765.7797394541558,76370.73309611164,1.0,1
-2725.869091554079,-2602.743170237867,-2656.3724006274715,-2647.853843503399,76803.20327805156,1.0,1
-2580.620259537478,-2648.352652659989,-2683.542306318064,-2825.2905919761397,78348.50737844536,1.0,1
-2645.507523768698,-2645.229836196988,-2595.227373789414,-2493.1898133483483,78703.61990292821,1.0,1
-2829.4904996263795,-2745.4624274219386,-2817.178281484754,-2897.2663690858753,81974.32150474345,1.0,1
-2971.810522490181,-2845.394424187951,-2909.2803302060347,-2919.637048158329,82744.25202572346,1.0,1
-3061.819629698759,-3132.566382185556,-3166.275035461178,-3315.9004854009254,81981.90664258943,1.0,1
-3143.4097546195844,-3149.8853913928615,-2848.732284898404,-2750.6749129851814,82388.48480460726,1.0,1
-3699.8367449020734,-3565.5275877433596,-3627.2574414369883,-3639.40370151808,85476.46553310406,1.0,1
-3776.8543746395735,-3885.665361387888,-3924.898781873053,-4059.779676237493,85344.79315030077,1.0,1
-4385.46278654132,-4383.043071269989,-4575.60397516354,-4468.716699454933,87689.63099483629,1.0,1
-5669.467678728513,-5541.122727024136,-5585.910366430995,-5604.4616726737,88474.53189658817,1.0,1
-115.02342806220986,-521.2027425498236,-397.0305842210073,-447.5659823722672,865820.1107706063,1.0,1
-1173.62641986995,-1241.686054238584,-1383.1903114245506,-1752.4577483244939,826507.8033347393,1.0,1
-1695.5972443731735,-1850.7867304719985,-1767.4636294092052,-1831.2256512412569,833655.3582447786,1.0,1
-2091.5764492191374,-2238.3679899674607,-2128.5327381187817,-2167.968113201554,839047.0073876253,1.0,1
-2259.9673146740533,-2308.8772588070715,-2384.3549847378163,-2464.50197576324,816168.3499851123,1.0,1
-2897.888127453509,-2952.8889661518624,-3034.8848702178802,-3226.634683308541,807605.6075067733,1.0,1
-3173.966607207549,-3324.0240155921783,-3239.6331730920356,-3302.214321513078,809263.468953023,1.0,1
-3528.5582091938704,-3713.460265465663,-3596.7202233237913,-3623.0958677612944,809712.9854889002,1.0,1
-3731.5122950642835,-3795.7184300160734,-3870.210692308494,-3939.7550669595366,806631.4829803251,1.0,1
-4887.520046242978,-5020.678716677823,-4960.240998418885,-5026.808880192693,809241.0487066357,1.0,1
-5254.651065293234,-5668.884254335426,-5548.628706235206,-5567.1926346402615,810187.6896741122,1.0,1
-5696.571201194893,-5762.86233037198,-5831.95791702834,-5906.414182783687,809543.6997241131,1.0,1
